Name	Location
MIR3610	8q24.11
LAPTM5	1p35.2
STPG2	4q22.3-q23
SORCS2	4p16.1
LECT2	5q31.1
CRYBG3	3q11.2
LPHN1	19p13.12
PAPPA	9q33.1
NUDT16	3q22.1
ZNF641	12q13.11
KCNQ4	1p34.2
UGT2B4	4q13.3
CACNG2	22q12.3
SLC2A2	3q26.2
SHISA7	19q13.42
CNGA4	11p15.4
CHD5	1p36.31
AADACL3	1p36.21
NUP107	12q15
CEACAM16	19q13.31-q13.32
KRT13	17q21.2
RILPL2	12q24.31
LYRM5	12p12.1
DDX58	9p21.1
RFPL2	22q12.3
FOXL2	3q22.3
CPSF4	7q22.1
ORC3	6q15
C6orf211	6q25.1
MIR3682	2p16.2
GGA2	16p12.2
TRMT2B	Xq22.1
MIR3916	1q44
MRPL3	3q22.1
OR9G9	11q11
PRR11	17q22
ASCL3	11p15.4
USP9X	Xp11.4
PTCD1	7q22.1
PIK3R3	1p34.1
UBE2NL	Xq27.3
PSTK	10q26.13
SEMA6D	15q21.1
SLC19A1	21q22.3
KLHL33	14q11.2
KIAA0947	5p15.32
TEF	22q13.2
MIR3974	12p12.3
DHRS3	1p36.21
LOC389033	2q21.1
BMPR1A	10q23.2
C1orf123	1p32.3
C2orf72	2q37.1
ACTR5	20q11.23
FAM172BP	3q12.3
LOC729737	1p36.33
C1orf21	1q25.3
C17orf62	17q25.3
DNAJC13	3q22.1
CYP7A1	8q12.1
FAM20A	17q24.2
CXCL14	5q31.1
ITGB8	7p21.1
RTN3	11q13.1
RPL41	12q13.2
DOCK3	3p21.2
GATA4	8p23.1
TEKT4	2q11.1
VPS25	17q21.2
KLHL22	22q11.21
USP15	12q14.1
ITPK1	14q32.12
C17orf110	17q25.1
CYP4F3	19p13.12
MEPCE	7q22.1
ZNF114	19q13.33
TMOD3	15q21.2
LOC100288814	Xp22.2
CIAO1	2q11.2
GABRE	Xq28
DIO1	1p32.3
NHSL2	Xq13.1
GPR98	5q14.3
SPDYE4	17p13.1
HSD17B6	12q13.3
PRKX	Xp22.33
CXorf56	Xq24
HPSE	4q21.23
DTL	1q32.3
TSHB	1p13.2
PLIN2	9p22.1
MIR591	7q21.3
OR5M9	11q12.1
GNPDA1	5q31.3
ACYP2	2p16.2
SRPX	Xp11.4
DBIL5P	17p13.3
MIR4254	1p35.2
LOC284751	20q13.13
ARHGAP35	19q13.32
ANGPT1	8q23.1
ZNF682	19p12
HSCB	22q12.1
NAA38	17p13.1
FLJ41278	12q14.3
ZNF609	15q22.31
CEP85L	6q22.31
LOC730102	1q25.2
SEMA5A	5p15.31
C3orf43	3q29
PAX7	1p36.13
TMEM81	1q32.1
INHBA	7p14.1
PLLP	16q13
LOC284688	1q24.2
GLTSCR1	19q13.33
PHAX	5q23.2
TMCO5B	15q13.3
NIPA1	15q11.2
IL27RA	19p13.12
MIR371A	19q13.42
KIAA1328	18q12.2
RNF180	5q12.3
SLC25A3	12q23.1
ADAM18	8p11.22
MIR5196	19q13.12
PEX6	6p21.1
FGD5	3p25.1
FSHR	2p16.3
S100A3	1q21.3
ZBTB4	17p13.1
C11orf45	11q24.3
MIR373	19q13.42
RNGTT	6q15
TNNC1	3p21.1
CLPB	11q13.4
PLA2G3	22q12.2
PLA2G2A	1p36.13
STON1	2p16.3
ACTR3BP2	2p11.1
DET1	15q26.1
ZNF629	16p11.2
TRIP10	19p13.3
STK4	20q13.12
IGF2BP2	3q27.2
AKAP8L	19p13.12
MYL2	12q24.11
CABP2	11q13.2
FAM166B	9p13.3
BPNT1	1q41
PECR	2q35
LOC100288198	6q14.1
DDX41	5q35.3
CCDC15	11q24.2
ETFDH	4q32.1
FAM183B	7p14.1
OPN4	10q23.2
CDK5RAP1	20q11.21
MIR2909	17q12
BEND6	6p12.1
PKN2	1p22.2
OR1J2	9q33.2
FAM64A	17p13.2
LOXL4	10q24.2
FKBPL	6p21.32
ZBED4	22q13.33
PLA2G15	16q22.1
GH1	17q23.3
SNORD116-6	15q11.2
ZMYND19	9q34.3
OVCA2	17p13.3
POPDC2	3q13.33
SNORD115-41	15q11.2
AK3	9p24.1
PEX5	12p13.31
ETAA1	2p14
KRTAP2-4	17q21.2
PLK2	5q11.2
SPIRE2	16q24.3
MIR16-2	3q25.33
PANK4	1p36.32
RPL10L	14q21.2
LINC00477	12p12.1
FAM222B	17q11.2
CXorf40A	Xq28
GRIK5	19q13.2
FYCO1	3p21.31
EPHB6	7q34
OR8H1	11q12.1
MINOS1	1p36.13
ZNF19	16q22.2
IL19	1q32.1
AGK	7q34
CXCL3	4q13.3
C1QA	1p36.12
TK2	16q21
KAAG1	6p22.3
RPGRIP1L	16q12.2
NARS	18q21.31
MLLT6	17q12
IL36RN	2q14.1
WRN	8p12
METAP1	4q23
VWA8	13q14.11
MMP20	11q22.2
NLGN4Y-AS1	Yq11.221
MATN2	8q22.1-q22.2
ZC3HAV1	7q34
DHX8	17q21.31
NAGK	2p13.3
TMIE	3p21.31
BNIPL	1q21.3
CLEC5A	7q34
TMC5	16p12.3
PNLIPRP1	10q25.3
WNT5A	3p14.3
MIR3924	10q21.1
RBM17	10p15.1
AP2S1	19q13.32
CLDN5	22q11.21
COPA	1q23.2
KBTBD11	8p23.3
MIR5009	15q26.1
DCAKD	17q21.31
RELB	19q13.32
PGM3	6q14.1
CXorf64	Xq25
WFDC3	20q13.12
CARNS1	11q13.2
ZNF232	17p13.2
DCAF12	9p13.3
GNS	12q14.3
CDC42EP2	11q13.1
ZNF700	19p13.2
LOC339807	2p14
GHITM	10q23.1
COL18A1-AS1	21q22.3
PHTF2	7q11.23-q21.11
DOC2GP	11q13.2
PAR5	15q11.2
VWDE	7p21.3
DPH5	1p21.2
BAHCC1	17q25.3
MYBPHL	1p13.3
C8orf73	8q24.3
MIR2114	Xq28
C19orf70	19p13.3
RCBTB2	13q14.2
LOC144742	12q24.23
OTUB1	11q13.1
ATG4A	Xq22.3
TCF7L2	10q25.2-q25.3
RRP1	21q22.3
MIR4432	2p16.1
ST6GALNAC2	17q25.1
GLUD1P3	10q22.2
SNORD46	1p34.1
ZNF441	19p13.2
PRKD1	14q12
LOC100130950	17p13.2
RBM43	2q23.3
PIK3R1	5q13.1
MED14	Xp11.4
LINC00467	1q32.3
CLINT1	5q33.3
PTF1A	10p12.2
LINC00284	13q14.11
MATK	19p13.3
NOP16	5q35.2
SLC6A1-AS1	3p25.3
MAP7	6q23.3
ATP6V1D	14q23.3
NSA2	5q13.3
LYPD6	2q23.2
DAPK3	19p13.3
COLEC11	2p25.3
LRRC1	6p12.1
IFNB1	9p21.3
RASSF7	11p15.5
FAM83C	20q11.22
FDFT1	8p23.1
RUFY1	5q35.3
MIR600	9q33.3
LINC00605	14q32.32
ANKRD12	18p11.22
MIR4277	5p15.33
MIR519A1	19q13.42
DSTN	20p12.1
SULT1C3	2q12.3
SPINK5	5q32
MIR612	11q13.1
NFKBIZ	3q12.3
RASSF2	20p13
TIFA	4q25
KIRREL3-AS2	11q24.2
TFCP2	12q13.12-q13.13
NR2C2AP	19p13.11
SGSH	17q25.3
TMEM109	11q12.2
FCN2	9q34.3
KIFC3	16q21
TM9SF4	20q11.21
ZFAT	8q24.22
KCNJ13	2q37.1
LPCAT1	5p15.33
CBX1	17q21.32
LOC646278	15q13.1
FARSA	19p13.13
CLIC5	6p21.1
UCN	2p23.3
SCGB1D2	11q12.3
MIR4772	2q12.1
ME2	18q21.2
MFSD7	4p16.3
CLN6	15q23
IL5	5q31.1
LOC729966	19p13.11
L1CAM	Xq28
LOC728463	1q41
FMR1	Xq27.3
SULT2B1	19q13.33
DCXR	17q25.3
TPRXL	3p25.1
KIAA0753	17p13.1
SSX1	Xp11.23
LOC653712	3q21.3
VCP	9p13.3
HHIPL1	14q32.2
ATRN	20p13
STAM	10p12.33
CT45A5	Xq26.3
NFKB2	10q24.32
SLC17A3	6p22.2
SYT5	19q13.42; 11p
XRRA1	11q13.4
GAGE2C	Xp11.23
CCDC170	6q25.1
LENG9	19q13.42
TGM2	20q11.23
MIR3677	16p13.3
HIST1H4D	6p22.2
PCDH19	Xq22.1
S100Z	5q13.3
YAP1	11q22.1
ORC4	2q23.1
LAIR2	19q13.42
DMBX1	1p33
MIR4274	4p16.1
UBE2V1	20q13.13
TK1	17q25.3
POLR2K	8q22.2
ARTN	1p34.1
MGC32805	5q23.2
GPR39	2q21.2
PCYOX1	2p13.3
RPPH1	14q11.2
PTPMT1	11p11.2
KRT6B	12q13.13
JDP2	14q24.3
PCK1	20q13.31
SNORD4B	17q11.2
CDCA2	8p21.2
MIS18A	21q22.11
LOC643441	1p13.2
LRIT1	10q23.1
SLC27A6	5q23.3
GNL3L	Xp11.22
ZSWIM2	2q32.1
HNRNPU	1q44
CXCR5	11q23.3
DCST2	1q21.3
ZNF710	15q26.1
COL20A1	20q13.33
MIR2053	8q23.3
C5orf58	5q35.1
NACC2	9q34.3
C1orf115	1q41
CLEC4E	12p13.31
FOXL1	16q24.1
HLX	1q41
C10orf105	10q22.1
ADAM12	10q26.2
ZBTB8OS	1p35.1
SUGT1P3	13q14.11
SNORD18B	15q22.31
GGNBP1	6p21.31
NEFL	8p21.2
ADAMTS8	11q24.3
DENND1C	19p13.3
RPL35	9q33.3
STXBP3	1p13.3
GAS7	17p13.1
ASB3	2p16.2
KLHL32	6q16.1
WTH3DI	2q21.1
RPS16	19q13.2
C2CD4A	15q22.2
TMEM56	1p21.3
CCNA1	13q13.3
NAP1L6	Xq13.2
SNAP47	1q42.13
RHOV	15q15.1
SPAG5	17q11.2
WDR6	3p21.31
LINC00332	13q14.11
SNORD114-16	14q32.31
COG8	16q22.1
TRMT13	1p21.2
SEPW1	19q13.33
TOMM7	7p15.3
WDR76	15q15.3
ZNF48	16p11.2
PPHLN1	12q12
SPNS2	17p13.2
GAK	4p16.3
CMTM1	16q21
FBXL2	3p22.3
CLEC4C	12p13.31
BNIP1	5q35.1
CCDC3	10p13
JMJD7	15q15.1
SULF1	8q13.2-q13.3
ERBB4	2q34
TNFAIP6	2q23.3
KRTAP10-5	21q22.3
GALC	14q31.3
PPM1F	22q11.22
KCNQ1OT1	11p15.5
TMEM91	19q13.2
IGF2	11p15.5
PZP	12p13.31
R3HDM2	12q13.3
SF3A2	19p13.3
EXOC3L4	14q32.32
PRPF40B	12q13.12
ZNF695	1q44
IL2RA	10p15.1
CTPS1	1p34.2
RBAK-LOC389458	7p22.1
CHGA	14q32.12
FAM24A	10q26.13
ASRGL1	11q12.3
NAT14	19q13.42
KIAA1143	3p21.31
CCL28	5p12
ID3	1p36.12
AMDHD2	16p13.3
SNORD32B	6p22.1
HBEGF	5q31.3
MIR2277	5q15
RNF8	6p21.2
OR4K13	14q11.2
DNAJB9	7q31.1; 14q24.2-q24.3
MIR548AA1	8q24.13
LOC286437	Xq22.2
RNF139	8q24.13
PIP5K1B	9q21.11
CENPW	6q22.32
ATAD3C	1p36.33
CTBP2	10q26.13
NKPD1	19q13.32
DLST	14q24.3
DYNLRB2	16q23.2
UST	6q25.1
METTL6	3p25.1
SDC2	8q22.1
NAGPA-AS1	16p13.3
C17orf76-AS1	17p11.2
MIR320D2	Xq27.1
MIR4770	Xp22.31
C15orf2	15q11.2
ZNF732	4p16.3
PTS	11q23.1
PNPLA7	9q34.3
EXOSC5	19q13.2
FBXW12	3p21.31
ZNF492	19p12
ZNF616	19q13.41
DND1	5q31.3
BATF	14q24.3
PRAMEF1	1p36.21
FZD1	7q21.13
TGFBR3L	19p13.2
SNORA38	6p21.33
REG3A	2p12
RPL7	8q21.11
MIR3188	19p13.11
STAT1	2q32.2
GAGE2D	Xp11.23
MIR663A	20p11.1
KCNMB2	3q26.32
ARMCX5	Xq22.1
C1orf63	1p36.11
THUMPD2	2p22.1; 2p22-p21
PTGR2	14q24.3
CD276	15q24.1
SPATA21	1p36.13
PATE4	11q24.2
MIR188	Xp11.23
PAFAH1B1	17p13.3
LOC100128568	19p13.3
ACVR2A	2q22.3-q23.1
SPOP	17q21.33
NEK9	14q24.3
HS3ST6	16p13.3
ZNF670	1q44
PRSS37	7q34
PIGQ	16p13.3
EPGN	4q13.3
LINC00607	2q35
ELOVL7	5q12.1
SNORD35A	19q13.33
DEFB4B	8p23.1
PSMC2	7q22.1
CEP135	4q12
ADCYAP1	18p11.32
FAM111B	11q12.1
SNORA11C	Xp11.3
KRTAP7-1	21q22.11
MAGEB6	Xp21.3
HSD11B2	16q22.1
MAD2L1BP	6p21.1
RBFOX3	17q25.3
RAB43	3q21.3
SLC22A5	5q31.1
MIR3201	22q13.32
TNNT1	19q13.42
LOC100093698	Xp22.2
ALDH1L1	3q21.3
PRMT7	16q22.1
RNF2	1q25.3
ARHGEF16	1p36.32
TMEM51	1p36.21
MRPL13	8q24.12
ZXDA	Xp11.21
PAGE2B	Xp11.21
IQCD	12q24.13
CD33	19q13.41
HECW2	2q32.3
MIR192	11q13.1
ATP6V1E1	22q11.21
TGIF2-C20ORF24	20q11.23
SUSD3	9q22.31
RPS27L	15q22.2
SAP30BP	17q25.1
CYSLTR2	13q14.2
PRICKLE2-AS2	3p14.1
NTSR1	20q13.33
DPYD-AS1	1p21.3
FAM221B	9p13.3
HLA-A	6p22.1
FAM117B	2q33.2
C6orf118	6q27
FAM71B	5q33.3
STAT2	12q13.3
POMT2	14q24.3
MCEE	2p13.3
IFIH1	2q24.2
TLK1	2q31.1
IL3RA	X;Y
DKFZp451B082	6q26
RNF148	7q31.32
UBC	12q24.31
NHP2L1	22q13.2
GIPC2	1p31.1
BPIFB1	20q11.21
ZNF774	15q26.1
TANK	2q24.2
ZNF148	3q21.2
UCP2	11q13.4
FAM222A	12q24.11
PRRG1	Xp21.1
GRXCR1	4p13
AHNAK	11q12.3
CCDC125	5q13.2
ARNT	1q21.3
VWA8-AS1	13q14.11
ZNF518B	4p16.1
ZNF132	19q13.43
CNTNAP2	7q35-q36.1
ARSE	Xp22.33
MKL1	22q13.1-q13.2
EIF2S3	Xp22.11
GDAP2	1p12
LDLRAD1	1p32.3
SIRPD	20p13
ZNF277	7q31.1
PRC1	15q26.1
EID2	19q13.2
C6orf130	6p21.1
WDR41	5q13.3-q14.1
DDI1	11q22.3
LOC646168	3q26.1-q26.2
ALYREF	17q25.3
HSD17B11	4q22.1
LOC158572	Xp11.23
FAM208A	3p14.3
ELMOD3	2p11.2
SNORA70	Xq28
SNORD111B	16q22.1
DNAJA1	9p21.1
SNORD114-13	14q32.31
CLEC2A	12p13.31
DACH1	13q21.33
D21S2088E	21q21.2
LOC731223	14q24.3
AOC4	17q21.31
SDK2	17q25.1
EPM2AIP1	3p22.2
CECR5-AS1	22q11.1
GSTTP1	22q11.23
MAGI2-AS3	7q21.11
PRTG	15q21.3
EIF4G3	1p36.12
MIR602	9q34.3
MIR5193	3p21.31
GNB2L1	5q35.3
WDR48	3p22.2
KLC1	14q32.33
MMP15	16q21
SLA2	20q11.23
FAM35B2	10q11.22
LINC00251	8q13.1
SHANK2-AS1	11q13.4
MC5R	18p11.21
ZNF799	19p13.2
LOC100289230	5q21.1
JRK	8q24.3
ARHGEF38	4q24
WTAPP1	11q22.2
CABP4	11q13.2
SNORA51	20p13
KRTAP10-3	21q22.3
TMEM61	1p32.3
HOXC6	12q13.13
DUSP22	6p25.3
NDUFA4L2	12q13.3
PRKAG2-AS1	7q36.1
NFATC3	16q22.1
ST3GAL6-AS1	3q12.1
DGCR8	22q11.21
PRDM16	1p36.32
BCR	22q11.23
TP53BP1	15q15.3
TSHR	14q31.1
LOC91450	15q24.3
HSPA5	9q33.3
ZNF563	19p13.2
HNRNPL	19q13.2
HSD11B1L	19p13.3
RCVRN	17p13.1
SF1	11q13.1
ARMCX6	Xq22.1
KPNA4	3q25.33
EVI2A	17q11.2
LOC728228	20p13
MIR26A2	12q14.1
SMYD5	2p13.2
RCAN3AS	1p36.11
PHOX2A	11q13.4
FAF1	1p32.3
NOVA1	14q12
LEPRE1	1p34.2
ZNF425	7q36.1
TAF1L	9p21.1
NREP-AS1	5q22.1
MOGAT3	7q22.1
ZNF691	1p34.2
GNB2	7q22.1
FAM21C	10q11.22
MIRLET7I	12q14.1
ZMYM6NB	1p34.3
RFPL3-AS1	22q12.3
CALB2	16q22.2
FKTN	9q31.2
B4GALNT3	12p13.33
TRANK1	3p22.2
H2AFY2	10q22.1
CHD9	16q12.2
GEMIN8P4	1p22.2
RNF216	7p22.1
CC2D2B	10q24.1
PRKCE	2p21
LONRF2	2q11.2
TRUB1	10q25.3
C14orf159	14q32.11
SCAPER	15q24.3
SLC1A6	19p13.12
NMUR1	2q37.1
PAX3	2q36.1
NUP50	22q13.31
GOLGA1	9q33.3
ARF3	12q13.12
LINC00263	10q24.31
METRN	16p13.3
FMO5	1q21.1
SPRR3	1q21.3
UBASH3A	21q22.3
PLCD4	2q35
FAM127C	Xq26.3
DHRS12	13q14.3
DECR1	8q21.3
FUZ	19q13.33
ZBTB16	11q23.2
CD209	19p13.2
PPIA	7p13
ADAMTS19	5q23.3
LINC00162	21q22.3
C12orf73	12q23.3
PRR4	12p13.2
ARMC5	16p11.2
LOC728743	7q36.1
REXO1L1	8q21.2
LOC648809	15q25.2
ABCA17P	16p13.3
PDCD4	10q25.2
SEZ6L	22q12.1
SCXA	
CKAP5	11p11.2
HSPB3	5q11.2
RAB11FIP1	8p11.23
ZNF248	10p11.21
HPS3	3q24
MT1A	16q13
NT5DC1	6q22.1
MLIP	6p12.1
DMRT2	9p24.3
GABPB2	1q21.3
TNNT3	11p15.5
ISYNA1	19p13.11
MYOG	1q32.1
KIAA0664	16p11.2
POU3F2	6q16.1
ADH1A	4q23
SNORD116-17	15q11.2
TMEM204	16p13.3
PLEKHM2	1p36.21
KRT75	12q13.13
NAA11	4q21.21
BLOC1S3	19q13.32
SNX10	7p15.2
DEFB108B	11q13.4
PYY2	17q11.2
MIR922	3q29
NT5C3	7p14.3
MIR520F	19q13.42
REEP4	8p21.3
DEFB109P1	8p23.1
CLP1	11q12.1
AEN	15q26.1
